Grid Size,Execution Time (ms),Memory Used (MB),Number of Threads
10,27,1,2
10,6,1,2
10,11,1,2
10,4,1,2
10,6,1,2
10,14,1,2
10,10,1,2
10,6,1,2
10,3,1,2
10,3,1,2
10,3,2,4
10,7,2,4
10,3,1,4
10,5,1,4
10,8,1,4
10,112,2,4
10,42,2,4
10,4,2,4
10,24,2,4
10,4,2,4
10,5,3,8
10,4,3,8
10,8,3,8
10,5,3,8
10,5,3,8
10,4,3,8
10,5,2,8
10,8,3,8
10,5,3,8
10,6,3,8
10,5,6,16
10,4,6,16
10,8,-67,16
10,7,6,16
10,9,5,16
10,7,5,16
10,10,6,16
10,15,6,16
10,5,5,16
10,4,6,16
50,2,1,2
50,14,1,2
50,16,1,2
50,25,1,2
50,20,1,2
50,0,0,2
50,24,1,2
50,4,1,2
50,13,1,2
50,13,0,2
50,9,1,4
50,40,2,4
50,23,1,4
50,26,1,4
50,19,2,4
50,32,1,4
50,17,2,4
50,23,2,4
50,17,-70,4
50,17,1,4
50,21,2,8
50,21,3,8
50,19,3,8
50,17,3,8
50,19,3,8
50,15,3,8
50,13,3,8
50,17,3,8
50,19,4,8
50,17,3,8
50,17,6,16
50,16,5,16
50,17,4,16
50,16,7,16
50,20,7,16
50,17,-65,16
50,17,3,16
50,16,3,16
50,25,3,16
50,4,4,16
100,26,1,2
100,22,0,2
100,28,1,2
100,33,2,2
100,31,2,2
100,30,0,2
100,30,2,2
100,10,3,2
100,25,1,2
100,29,0,2
100,12,3,4
100,35,3,4
100,32,4,4
100,37,3,4
100,60,3,4
100,16,3,4
100,34,3,4
100,35,3,4
100,35,3,4
100,25,1,4
100,228,-68,8
100,37,4,8
100,38,4,8
100,38,4,8
100,12,4,8
100,35,4,8
100,34,4,8
100,32,5,8
100,33,4,8
100,12,4,8
100,34,5,16
100,33,5,16
100,36,5,16
100,14,5,16
100,41,5,16
100,38,-67,16
100,44,4,16
100,48,5,16
100,59,4,16
100,39,4,16
200,84,2,2
200,185,2,2
200,124,3,2
200,104,4,2
200,335,2,2
200,156,2,2
200,172,5,2
200,693,8,2
200,107,2,2
200,91,3,2
200,117,-59,4
200,127,13,4
200,118,4,4
200,508,12,4
200,144,13,4
200,92,13,4
200,76,-59,4
200,148,13,4
200,93,3,4
200,85,13,4
200,85,13,8
200,93,14,8
200,108,-58,8
200,139,13,8
200,54,13,8
200,129,13,8
200,124,13,8
200,59,14,8
200,99,-59,8
200,54,13,8
200,61,14,16
200,128,15,16
200,133,15,16
200,107,-58,16
200,282,14,16
200,110,15,16
200,102,14,16
200,62,14,16
200,113,-59,16
200,101,15,16
500,272,15,2
500,319,27,2
500,295,58,2
500,279,-41,2
500,426,17,2
500,207,15,2
500,404,14,2
500,243,17,2
500,222,-49,2
500,236,79,2
500,189,-86,4
500,405,80,4
500,448,-20,4
500,485,-70,4
500,367,81,4
500,344,-18,4
500,420,-15,4
500,304,-13,4
500,171,18,4
500,369,-13,4
500,413,-10,8
500,384,-11,8
500,415,80,8
500,444,-40,8
500,446,-34,8
500,439,79,8
500,451,-42,8
500,629,-34,8
500,461,-41,8
500,505,80,8
500,585,-33,16
500,543,-39,16
500,733,81,16
500,714,-37,16
500,533,-32,16
500,475,79,16
500,515,-37,16
500,443,-32,16
500,505,82,16
500,357,-43,16
